cik1	fy1	period1	cik2	fy2	period2	dist
0000874214	2014	20150131	0001517681	2014	20140630	0.792572570476
0000874214	2014	20150131	0001407704	2014	20140228	0.788087670872
0000874214	2014	20150131	0001338095	2014	20141231	0.650507917195
0000874214	2014	20150131	0001594337	2014	20140930	0.650476318725
0000874214	2014	20150131	0001493563	2014	20141231	0.640316974558
0000874214	2014	20150131	0001002037	2014	20141003	0.669482670478
0000874214	2014	20150131	0000277058	2014	20140430	0.705887120435
0000874214	2014	20150131	0001060409	2014	20141231	0.66743586585
0000874214	2014	20150131	0000315189	2014	20141031	0.753806143956
0000874214	2014	20150131	0001433966	2014	20140630	0.705289027717
0000874214	2014	20150131	0001031623	2014	20141231	0.660574718821
0001064728	2012	20121231	0001136352	2012	20120930	0.32893036314
0001064728	2012	20121231	0001034842	2012	20121231	0.484303462074
0001064728	2012	20121231	0000098362	2012	20121231	0.33307472185
0001064728	2012	20121231	0001412486	2012	20121231	0.363451028063
0001064728	2012	20121231	0001384072	2012	20121231	0.400711447044
0001064728	2012	20121231	0001281198	2012	20121231	0.414639562511
0001064728	2012	20121231	0000068709	2012	20120929	0.338601738166
0001064728	2012	20121231	0000093410	2012	20121231	0.414934052463
0001064728	2012	20121231	0000789868	2012	20121231	0.28377982955
0001064728	2012	20121231	0000836429	2012	20120731	0.354021403467
0001064728	2012	20121231	0001389067	2012	20121231	0.610755724519
0001064728	2012	20121231	0000027748	2012	20120728	0.313568547989
0001064728	2012	20121231	0000746967	2012	20120930	0.569050014964
0001064728	2012	20121231	0001000228	2012	20121229	0.398886370685
0001064728	2012	20121231	0001371217	2012	20121231	0.328406487036
0001064728	2012	20121231	0001117106	2012	20121231	0.335811711107
0001064728	2012	20121231	0000093389	2012	20121231	0.405095858217
0001064728	2012	20121231	0001287808	2012	20121231	0.315432361669
0001064728	2012	20121231	0001125903	2012	20121231	0.545895419112
0001064728	2012	20121231	0001491525	2012	20120331	0.356999494343
0001064728	2012	20121231	0001111817	2012	20120630	0.295694235519
0001064728	2012	20121231	0000825324	2012	20120930	0.313308042281
0001064728	2012	20121231	0001020475	2012	20121231	0.759228621145
0001064728	2012	20121231	0001529293	2012	20120731	0.450120558597
0001064728	2012	20121231	0001551887	2012	20121031	0.382437451646
0001064728	2012	20121231	0001002590	2012	20120930	0.365871159789
0001064728	2012	20121231	0000727510	2012	20121231	0.305790154648
0001064728	2012	20121231	0001510524	2012	20121231	0.36964426827
0001064728	2012	20121231	0001355304	2012	20121231	0.362850927988
0001064728	2012	20121231	0000041719	2012	20121231	0.347548500413
0001064728	2012	20121231	0001005284	2012	20121231	0.306545580246
0001064728	2012	20121231	0001366407	2012	20121231	0.603870641884
0001064728	2012	20121231	0001450708	2012	20121031	0.444599837997
0001064728	2012	20121231	0001530804	2012	20121231	0.389790787974
0001064728	2012	20121231	0000948426	2012	20121231	0.365034655823
0001064728	2012	20121231	0001523733	2012	20121231	0.349487114238
0001439971	2014	20140430	0000874214	2014	20150131	0.692199201578
0001439971	2014	20140430	0000884269	2014	20141231	0.389868773838
0001439971	2014	20140430	0001522236	2014	20140531	0.348279724243
0001439971	2014	20140430	0001481218	2014	20141231	0.36080564899
0001439971	2014	20140430	0001062292	2014	20141231	0.361418493406
0001439971	2014	20140430	0001134765	2014	20141231	0.737044973063
0001439971	2014	20140430	0001517681	2014	20140630	0.782317485845
0001439971	2014	20140430	0001407704	2014	20140228	0.506688654325
0001439971	2014	20140430	0001338095	2014	20141231	0.393179244896
0001439971	2014	20140430	0001594337	2014	20140930	0.75364533789
0001439971	2014	20140430	0001493563	2014	20141231	0.370340375308
0001439971	2014	20140430	0001002037	2014	20141003	0.392980159519
0001439971	2014	20140430	0000277058	2014	20140430	0.369443121988
0001439971	2014	20140430	0001060409	2014	20141231	0.346368257426
0001439971	2014	20140430	0000315189	2014	20141031	0.456207609597
0001439971	2014	20140430	0001433966	2014	20140630	0.357017598603
0001439971	2014	20140430	0001031623	2014	20141231	0.372511702386
0000884269	2014	20141231	0000874214	2014	20150131	0.689881410711
0000884269	2014	20141231	0001439971	2014	20140430	0.389868773838
0000884269	2014	20141231	0001522236	2014	20140531	0.370919633494
0000884269	2014	20141231	0001481218	2014	20141231	0.356874399956
0000884269	2014	20141231	0001062292	2014	20141231	0.395843707251
0000884269	2014	20141231	0001134765	2014	20141231	0.751857749731
0000884269	2014	20141231	0001517681	2014	20140630	0.766698620196
0000884269	2014	20141231	0001407704	2014	20140228	0.508096650667
0000884269	2014	20141231	0001338095	2014	20141231	0.376524190016
0000884269	2014	20141231	0001594337	2014	20140930	0.757223511159
0000884269	2014	20141231	0001493563	2014	20141231	0.390185552021
0000884269	2014	20141231	0001002037	2014	20141003	0.457437593704
0000884269	2014	20141231	0000277058	2014	20140430	0.430903502316
0000884269	2014	20141231	0001060409	2014	20141231	0.362783691034
0000884269	2014	20141231	0000315189	2014	20141031	0.446058676689
0000884269	2014	20141231	0001433966	2014	20140630	0.388886137842
0000884269	2014	20141231	0001031623	2014	20141231	0.420943292702
0001034842	2012	20121231	0001136352	2012	20120930	0.448440738045
0001034842	2012	20121231	0001064728	2012	20121231	0.484303462074
0001034842	2012	20121231	0000098362	2012	20121231	0.457379066112
0001034842	2012	20121231	0001412486	2012	20121231	0.424221757391
0001034842	2012	20121231	0001384072	2012	20121231	0.481956832942
0001034842	2012	20121231	0001281198	2012	20121231	0.445781866512
0001034842	2012	20121231	0000068709	2012	20120929	0.475863614836
0001034842	2012	20121231	0000093410	2012	20121231	0.524991337395
0001034842	2012	20121231	0000789868	2012	20121231	0.45219439542
0001034842	2012	20121231	0000836429	2012	20120731	0.468923912964
0001034842	2012	20121231	0001389067	2012	20121231	0.552478099897
0001034842	2012	20121231	0000027748	2012	20120728	0.454856190287
0001034842	2012	20121231	0000746967	2012	20120930	0.644926505113
0001034842	2012	20121231	0001000228	2012	20121229	0.407873456831
0001034842	2012	20121231	0001371217	2012	20121231	0.454469957439
0001034842	2012	20121231	0001117106	2012	20121231	0.509185050388
0001034842	2012	20121231	0000093389	2012	20121231	0.397715026368
0001034842	2012	20121231	0001287808	2012	20121231	0.517605188349
0001034842	2012	20121231	0001125903	2012	20121231	0.562700252811
0001034842	2012	20121231	0001491525	2012	20120331	0.492426248283
0001034842	2012	20121231	0001111817	2012	20120630	0.469348677933
0001034842	2012	20121231	0000825324	2012	20120930	0.481997129106
0001034842	2012	20121231	0001020475	2012	20121231	0.708492303071
0001034842	2012	20121231	0001529293	2012	20120731	0.542235273521
0001034842	2012	20121231	0001551887	2012	20121031	0.509152402444
0001034842	2012	20121231	0001002590	2012	20120930	0.431527312394
0001034842	2012	20121231	0000727510	2012	20121231	0.449637023233
0001034842	2012	20121231	0001510524	2012	20121231	0.536075026893
0001034842	2012	20121231	0001355304	2012	20121231	0.489337097978
0001034842	2012	20121231	0000041719	2012	20121231	0.429484140581
0001034842	2012	20121231	0001005284	2012	20121231	0.444099355016
0001034842	2012	20121231	0001366407	2012	20121231	0.557699022845
0001034842	2012	20121231	0001450708	2012	20121031	0.52767966476
0001034842	2012	20121231	0001530804	2012	20121231	0.509958474963
0001034842	2012	20121231	0000948426	2012	20121231	0.481817355544
0001034842	2012	20121231	0001523733	2012	20121231	0.438811178786
0000102037	2015	20150331	0001419275	2015	20151231	0.970126678141
0000102037	2015	20150331	0001322952	2015	20151231	0.392611645381
0000102037	2015	20150331	0001533998	2015	20151231	0.318453768755
0000102037	2015	20150331	0000315958	2015	20151231	0.392032240014
0000102037	2015	20150331	0000353020	2015	20151231	0.373333149993
0000102037	2015	20150331	0001567771	2015	20151231	0.364466488004
0000102037	2015	20150331	0000909724	2015	20151231	0.403962155321
0000102037	2015	20150331	0000949157	2015	20151231	0.809987158871
0000102037	2015	20150331	0001351051	2015	20151231	0.3516116474
0000102037	2015	20150331	0001296205	2015	20151231	0.354934129951
0000102037	2015	20150331	0000833640	2015	20151231	0.349411260222
0000102037	2015	20150331	0000887969	2015	20151231	0.336417548905
0000102037	2015	20150331	0001035983	2015	20151231	0.409330485645
0000102037	2015	20150331	0001040896	2015	20151231	0.382179132038
0000102037	2015	20150331	0000351789	2015	20151231	0.723840521418
0000102037	2015	20150331	0001623919	2015	20151231	0.313446331535
0000102037	2015	20150331	0000082166	2015	20150131	0.323208972169
0000102037	2015	20150331	0000093556	2015	20160102	0.310693732473
0000102037	2015	20150331	0001407038	2015	20151231	0.371690472733
0000102037	2015	20150331	0001314196	2015	20151231	0.35106077432
0000102037	2015	20150331	0001568385	2015	20151231	0.694411606986
0000102037	2015	20150331	0001594204	2015	20151231	0.356736057688
0001533998	2015	20151231	0001419275	2015	20151231	0.934741928575
0001533998	2015	20151231	0001322952	2015	20151231	0.346093697794
0001533998	2015	20151231	0000102037	2015	20150331	0.318453768755
0001533998	2015	20151231	0000315958	2015	20151231	0.373878319771
0001533998	2015	20151231	0000353020	2015	20151231	0.375553247197
0001533998	2015	20151231	0001567771	2015	20151231	0.319693282219
0001533998	2015	20151231	0000909724	2015	20151231	0.408077723831
0001533998	2015	20151231	0000949157	2015	20151231	0.784146022629
0001533998	2015	20151231	0001351051	2015	20151231	0.305625294664
0001533998	2015	20151231	0001296205	2015	20151231	0.308816526495
0001533998	2015	20151231	0000833640	2015	20151231	0.303403349902
0001533998	2015	20151231	0000887969	2015	20151231	0.286413271016
0001533998	2015	20151231	0001035983	2015	20151231	0.402117434557
0001533998	2015	20151231	0001040896	2015	20151231	0.312532932755
0001533998	2015	20151231	0000351789	2015	20151231	0.682450394822
0001533998	2015	20151231	0001623919	2015	20151231	0.292829736803
0001533998	2015	20151231	0000082166	2015	20150131	0.28570069725
0001533998	2015	20151231	0000093556	2015	20160102	0.277795916951
0001533998	2015	20151231	0001407038	2015	20151231	0.324385386866
0001533998	2015	20151231	0001314196	2015	20151231	0.307739329258
0001533998	2015	20151231	0001568385	2015	20151231	0.645317316746
0001533998	2015	20151231	0001594204	2015	20151231	0.309006671495
0000098362	2012	20121231	0001136352	2012	20120930	0.341410699969
0000098362	2012	20121231	0001064728	2012	20121231	0.33307472185
0000098362	2012	20121231	0001034842	2012	20121231	0.457379066112
0000098362	2012	20121231	0001412486	2012	20121231	0.394709709417
0000098362	2012	20121231	0001384072	2012	20121231	0.434041974272
0000098362	2012	20121231	0001281198	2012	20121231	0.392195124018
0000098362	2012	20121231	0000068709	2012	20120929	0.353439314285
0000098362	2012	20121231	0000093410	2012	20121231	0.459002910733
0000098362	2012	20121231	0000789868	2012	20121231	0.342330048528
0000098362	2012	20121231	0000836429	2012	20120731	0.354988812744
0000098362	2012	20121231	0001389067	2012	20121231	0.582342109858
0000098362	2012	20121231	0000027748	2012	20120728	0.33054394675
0000098362	2012	20121231	0000746967	2012	20120930	0.580688024185
0000098362	2012	20121231	0001000228	2012	20121229	0.429446530605
0000098362	2012	20121231	0001371217	2012	20121231	0.332612378171
0000098362	2012	20121231	0001117106	2012	20121231	0.367709388083
0000098362	2012	20121231	0000093389	2012	20121231	0.405716554506
0000098362	2012	20121231	0001287808	2012	20121231	0.36585847755
0000098362	2012	20121231	0001125903	2012	20121231	0.518131897208
0000098362	2012	20121231	0001491525	2012	20120331	0.375266971588
0000098362	2012	20121231	0001111817	2012	20120630	0.319028134766
0000098362	2012	20121231	0000825324	2012	20120930	0.359269768067
0000098362	2012	20121231	0001020475	2012	20121231	0.75816594726
0000098362	2012	20121231	0001529293	2012	20120731	0.456923656343
0000098362	2012	20121231	0001551887	2012	20121031	0.40635351571
0000098362	2012	20121231	0001002590	2012	20120930	0.374998233179
0000098362	2012	20121231	0000727510	2012	20121231	0.355769876321
0000098362	2012	20121231	0001510524	2012	20121231	0.401277439498
0000098362	2012	20121231	0001355304	2012	20121231	0.381393525964
0000098362	2012	20121231	0000041719	2012	20121231	0.361201349385
